"Freq [GHz]","Phi [deg]","Theta [deg]","mag(rEL3X) [V]","mag(rEL3Y) [V]"
82,0,67,0.11134009308796,0.0014537856227708
82,0,68,0.141115883993836,0.00160980008378357
82,0,69,0.285482435402261,0.0017579117586742
82,0,70,0.427434130036921,0.00189807213237763
82,0,71,0.557836890052757,0.00203027051404939
82,0,72,0.67571604147786,0.00215452929876394
82,0,73,0.781269582490165,0.00227089943001336
82,0,74,0.875001218170089,0.00237945603386819
82,0,75,0.957517400021272,0.00248029422533208
82,0,76,1.02945907037164,0.00257352509848035
82,0,77,1.09147204454616,0.00265927191525501
82,0,78,1.14419146506537,0.00273766650737122
82,0,79,1.18823247307438,0.00280884590415146
82,0,80,1.22418413436596,0.00287294919676519
82,0,81,1.25260533930652,0.00293011464705174
82,0,82,1.27402204990073,0.0029804770469509
82,0,83,1.28892554836244,0.00302416533275297
82,0,84,1.29777147366064,0.00306130045692986
82,0,85,1.30097950015666,0.0030919935192749
82,0,86,1.29893355032712,0.0031163441584494
82,0,87,1.2919824568767,0.00313443920473033
82,0,88,1.28044100531469,0.0031463515949689
82,0,89,1.26459129969293,0.00315213955114189
82,0,90,1.24468440337361,0.0031518460247615
82,0,91,1.22094221428212,0.00314549841047994
82,0,92,1.19355954055697,0.00313310853367903
82,0,93,1.16270634808388,0.00311467291857959
82,0,94,1.12853015624001,0.00309017334552592
82,0,95,1.09115856238511,0.00305957770867253
82,0,96,1.05070187932786,0.0030228411884249
82,0,97,1.00725587332356,0.00297990775698729
82,0,98,0.960904593375446,0.00293071204048241
82,0,99,0.911723286168484,0.00287518156808648
82,0,100,0.859781395698631,0.00281323944824138
82,0,101,0.805145654194421,0.00274480752582188
82,0,102,0.747883284545533,0.00266981009449846
82,0,103,0.688065361157918,0.0025881782690975
82,0,104,0.625770431806469,0.00249985516994172
82,0,105,0.561088626204463,0.00240480214506075
82,0,106,0.494126769634245,0.00230300637478915
82,0,107,0.425015781282237,0.00219449039762011
82,0,108,0.353923866960754,0.002079324422312
82,0,109,0.281086681089844,0.00195764285321453
82,0,110,0.206898690262275,0.00182966745251977
82,0,111,0.132312818510125,0.0016957413882098
82,0,112,0.0621581014277109,0.00155638187534829
82,0,113,0.0500921622213315,0.00141236591190314
82,0,114,0.117997324187538,0.00126487741856069
82,0,115,0.195975399994117,0.00111577287672696
82,0,116,0.275773805960436,0.000968082348387005
82,0,117,0.355974136923111,0.000826975346112297
82,0,118,0.435900236727281,0.000701539475339515
82,0,119,0.515028407197775,0.000607246074906846
82,0,120,0.592870072182119,0.000565595535925745
82,0,121,0.668939787576603,0.00059257050199895
82,0,122,0.742746227781445,0.00068344064887358
82,0,123,0.813791321454064,0.00081929906118381
82,0,124,0.881573045676517,0.000982745852698656
82,0,125,0.945590260126426,0.00116247421774897
82,0,126,1.00534890447672,0.00135160773725239
82,0,127,1.06036922628757,0.00154574232368826
82,0,128,1.11019383898262,0.00174177904082025
82,0,129,1.15439645849933,0.00193731138451457
82,0,130,1.19259118063637,0.00213030752451603
82,0,131,1.22444215853086,0.00231894272194853
82,0,132,1.24967352973215,0.00250150964347012
82,0,133,1.26807942898483,0.00267637069689029
82,0,134,1.27953390773703,0.00284193410217353
82,0,135,1.28400056461246,0.00299664401909265
82,0,136,1.28154167114311,0.00313897938815176
82,0,137,1.27232655048437,0.00326745839793646
82,0,138,1.25663892736056,0.00338064670475015
82,0,139,1.23488290488079,0.00347716820144722
82,0,140,1.20758712255706,0.00355571751358652
82,0,141,1.17540648792025,0.00361507362285611
82,0,142,1.13912062397825,0.00365411415010671
82,0,143,1.09962780868342,0.00367182991184312
82,0,144,1.05793268892424,0.00366733941667005
82,0,145,1.01512547043707,0.00363990300471687
82,0,146,0.972349771809779,0.00358893636120722
82,0,147,0.930756241464608,0.00351402315974879
82,0,148,0.891439984600898,0.00341492661473712
82,0,149,0.855362599035379,0.0032915997477667
82,0,150,0.823264636227814,0.00314419420262048
82,0,151,0.795580886314017,0.00297306748104035
82,0,152,0.772376427283083,0.00277878852462854
82,0,153,0.753321912010623,0.00256214165428092
82,0,154,0.737719362765182,0.00232412904046179
82,0,155,0.724576422754521,0.00206597223111114
82,0,156,0.712713702179993,0.0017891141555277
82,0,157,0.70088305947105,0.00149522563710776
82,0,158,0.687876526331996,0.00118622964339567
82,0,159,0.672613169027744,0.000864398051408589
82,0,160,0.654199655856653,0.000532856730411028
82,0,161,0.631966364392057,0.000201432802361075
82,0,162,0.605483711161501,0.000185333198388158
82,0,163,0.574563820399203,0.000525090541961086
82,0,164,0.539251848689273,0.000876186239362698
82,0,165,0.499810139138096,0.00122695044481742
82,0,166,0.456697358843158,0.00157348327054959
82,0,167,0.410544034538218,0.00191259481497685
82,0,168,0.362125440550359,0.00224125845447718
82,0,169,0.312332550490833,0.00255652422307706
82,0,170,0.262141677489171,0.00285551431412615
82,0,171,0.212583465179361,0.00313544062220385
82,0,172,0.164712102300636,0.00339362978722841
82,0,173,0.119576377333298,0.00362755106810624
82,0,174,0.0781976247017389,0.00383484510707159
82,0,175,0.0415851073555724,0.00401335253630513
82,0,176,0.0113913374461633,0.00416114170203735
82,0,177,0.0161793452280637,0.00427653490976156
82,0,178,0.0339196112128924,0.00435813265225543
82,0,179,0.0448554864808413,0.00440483531727227
82,0,180,0.0483902239922073,0.00441586190399817
83,0,0,48.9602277856963,0.00407442281871946
83,0,1,48.8646492554777,0.00397998889570892
83,0,2,48.578629573567,0.00385002222860231
83,0,3,48.105463663602,0.0036877543408544
83,0,4,47.4505885340413,0.00349727867626849
83,0,5,46.6215021923822,0.00328372388354567
83,0,6,45.6276526976632,0.00305352812772909
83,0,7,44.4802998239902,0.00281485865120625
83,0,8,43.1923523766023,0.00257820949133235
